smile,label,54,89,140,315,341,379,454,696,800,808,848,855,936,1006
C(Oc1c(c(c(c([H])c1OC([H])([H])[H])C1(C2([H])C([H])(C([H])(O[H])c3c1c(c1OC(Oc1c3[H])([H])[H])[H])C(OC2=O)([H])[H])[H])[H])OC([H])([H])[H])([H])([H])[H],1,0,1,0,1,1,0,1,1,0,0,0,1,0,0
c1ccc2N(C(=O)CCN(CC)CC)c3c(Sc2c1)ccc(C(F)(F)F)c3,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
[H]N(C(C([H])([H])[H])(C(N(C1([H])C([H])(c2c(c([H])c([H])c([H])c2C1([H])[H])[H])[H])C([H])([H])C(O[H])=O)=O)[H])C(C(=O)OC([H])(C([H])([H])[H])[H])([H])C([H])(C([H])(c1c([H])c(c([H])c([H])c1[H])[H])[H])[H],1,0,1,1,0,1,0,1,1,1,1,0,1,0,1
c12n[nH]c(c2N(C(CC(=O)N1C)=O)c1ccccc1)C,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0
[H]OC(C1N2C(=O)[C@]([C@@]2([H])SC(C=1C(Sc1nnc(C([H])([H])[H])s1)([H])[H])([H])[H])(N([H])C(=O)C(N1C([H])=C(C(=O)C(Cl)=C1[H])Cl)([H])[H])[H])=O,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0
N1(C)[C@@H]2Cc3c4c(C2=C[C@@H](C(=O)N[C@@]2(C(C)C)C(N5[C@@](O2)(C2N(CCC2)C(=O)[C@@H]5CC(C)C)O)=O)C1)cccc4[nH]c3Br,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
[C@]12(C(=C(C(=O)C(=C1[H])[H])[H])[C@@]([H])(C([H])([H])[H])C([H])([C@@]1([C@@]2([C@](O[H])(C([H])([C@]2(C([H])([H])[H])[C@](O[H])(C([H])(C([C@]21[H])([H])[H])[H])C(C([H])([H])[H])=O)[H])[H])F)[H])[H])C([H])([H])[H],0,0,1,0,1,0,0,1,1,0,1,1,0,0,0
OCCCC(=O)O,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
[H]C([H])([H])c1nc(nn1[H])[C@]1([H])C(C([H])(C([H])([H])N1C(=O)C([H])(C(n1nc(C([H])([H])[H])c(c1C([H])([H])[H])C(C([H])([H])[H])=O)([H])[H])[H])[H])([H])[H],1,1,1,0,0,0,1,0,0,0,1,1,0,1,0
[H]c1c([H])c([H])c2N(c3nc(c([H])c([H])c3C(N(c2c1[H])C([H])([H])[C@@](C([H])([H])[H])(N(C([H])([H])[H])C([H])([H])[H])[H])=O)[H])[H],0,0,0,0,1,1,1,0,0,1,0,0,0,1,1
c1([H])c2N=C3C(N([H])C(N=C3N(c2c([H])c(c1C([H])([H])[H])C([H])([H])[H])C([C@@]([H])(O[H])[C@](O[H])([C@](C([H])(O[H])[H])([H])O[H])[H])([H])[H])=O)=O,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0
C1C[C@@H]([C@H](C[C@@]12CCCO2)N1CCCC1)N(C(Cc1cc(c(Cl)cc1)Cl)=O)C,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0
[H]c1c2c(N(C(N([H])[H])=O)c3c(c(c(c([H])c3C3(C2(O3)[H])[H])[H])[H])[H])c([H])c([H])c1[H],0,0,1,1,0,1,0,0,0,1,1,0,0,1,0
[H]C(C(C([H])([H])[H])(N1C(C(O[C@]([H])(C1([H])[H])c1c([H])c(C(F)(F)F)c([H])c([H])c1[H])([H])[H])([H])[H])[H])([H])[H],0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
[H]C(C(C([H])([H])C([H])([H])N1C([C@]2([H])[C@@]3(C([C@@]([H])(C([H])(C3([H])[H])[H])[C@@]2(C1=O)[H])([H])[H])[H])=O)([H])[H])([H])N1C([H])([H])C(N(C([H])([H])C1([H])[H])c1nc(c(c([H])n1)[H])[H])([H])[H],0,1,1,0,1,1,1,0,0,0,0,1,0,1,0
c1ccc(cc1)C(C#C)OC(N)=O,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0
C1([H])(SC2(C(N(C(/C(c3nc(sc3[H])N([H])[H])=N/OC([H])([H])[H])=O)[H])([H])C(=O)N2C(C(=O)O[H])=C1[H])[H])[H],1,0,1,1,1,0,1,1,1,0,1,0,0,1,0
[H]C([H])(C([H])(C(=O)OC1(C([H])([H])C(C([H])([H])[H])(C([H])=C2C(=C(C(C([H])(C12[H])C([H])(C([H])([H])C1(OC(C([H])([H])C(O[H])([H])C1([H])[H])=O)[H])[H])(C([H])([H])[H])[H])[H])[H])[H])[H])C([H])([H])[H])C([H])([H])[H],1,0,1,0,1,0,0,1,1,0,1,1,0,0,1
O=C(N([H])C([H])([C@](O[H])(C([H])(O[H])[H])[H])[H])c1c(c(C(=O)N([H])C([H])([H])[C@](C(O[H])([H])[H])([H])O[H])c(I)c(c1I)N(C([H])([C@](O[H])(C([H])(O[H])[H])[H])[H])C(C([H])([H])[H])=O)I,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0
C1([H])(C(=C([H])[H])C2=C(C(=O)C(=C([H])C2(C2(C1([H])C1([H])C(C([H])([H])[H])(C(C([H])([H])C1([H])[H])=O)C([H])([H])C2([H])[H])[H])C([H])([H])[H])[H])[H])[H],1,0,1,0,1,0,0,0,0,0,1,1,0,0,1
N1([H])C([C@](c2nc(c([H])c(c2[H])[H])[H])(c2c(c(c(c(c2[H])[H])Cl)[H])[H])O[H])=NC([H])([H])C1([H])[H],0,1,1,0,0,1,1,1,1,1,0,1,1,1,0
n1n(c([H])c(n1)SC([H])(C1C([H])(S[C@]2([H])N(C=1C(=O)O[H])C(=O)[C@]2([H])N(C(=O)[C@@]([H])(c1c([H])c(c(O[H])c(c1[H])[H])[H])N([H])[H])[H])[H])[H])[H],1,0,1,1,1,1,1,1,1,0,1,0,1,1,0
CC(C[C@@H]1CN2[C@@H](CC1=O)c1c(CC2)cc(OC)c(c1)OC)C,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1
C(c1c(c(NC(=O)[C@H](C)O)c(I)c(c1I)C(NC(CO)CO)=O)I)(NC(CO)CO)=O,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1
[H]C1([H])C(N([H])C(=N1)N([H])c1c(c([H])c([H])c(c1[H])[H])[H])([H])[H],1,1,1,1,0,1,1,0,0,1,0,1,0,1,0
C1(C2CN(CCC2Cc2c1c(c([nH]2)C)CC)C)=O,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1
[H]C1(C(=C(C(C([H])=C1[H])([H])[H])[C@@]([H])(N([H])[H])C(N([H])[C@]1([C@]2([H])N(C1=O)C(=C(C([H])([H])[H])C(S2)([H])[H])C(O[H])=O)[H])=O)[H])[H],1,0,1,1,1,0,0,1,1,0,1,0,0,1,0
O=C(COC(=O)CC)[C@@]1(OC(=O)CCC)CC[C@@H]2[C@]1(C[C@H]([C@H]1[C@@H]2CCC2=CC(CC[C@@]12C)=O)O)C,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1
[H]OC(=O)[C@](C([H])(C([H])(C(C(N([H])[C@@]1([H])C(N2[C@@]1(SC(C([H])([H])[H])(C([H])([H])[H])[C@]2(C(O[H])=O)[H])[H])=O)=O)([H])[H])[H])[H])([H])N([H])[H],1,0,1,1,1,0,0,1,1,0,1,0,0,1,0
O(C([C@]1([H])N2C([C@](N(C([C@]([H])(N([H])[H])c3c([H])c(c(c([H])c3[H])[H])[H])=O)[H])([H])[C@]2(SC1(C([H])([H])[H])C([H])([H])[H])[H])=O)=O)[H],1,0,1,1,1,1,0,1,1,1,1,0,1,1,0
c1cccc(N2N=C(C)CC2=O)c1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0
[H]c1c([H])c2C([C@@]3([H])N(C(C([H])([H])[C@]45[C@@]3(O[H])C([H])(C(C(=C([H])[H])[C@@]5(Oc(c1O[H])c24)[H])([H])[H])[H])([H])[H])C([H])(C1(C([H])([H])C1([H])[H])[H])[H])([H])[H],0,1,1,0,0,1,0,1,1,0,1,1,0,1,0
[H]c1c(c(c([H])c(OC([H])([H])[H])c1C([H])(N([H])C1(C(c2c(c([H])c([H])c(c2[H])[H])[H])(N([H])C(C([H])(C1([H])[H])[H])([H])[H])[H])[H])[H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H],0,1,1,1,0,1,0,0,1,1,0,1,1,1,1
